-9.1874	0	-15.913
-9.4631	1.0101	-15.939
-9.6567	2.0202	-16.003
-9.8157	3.0303	-16.08
-9.9554	4.0404	-16.162
-10.082	5.0505	-16.245
-10.2	6.0606	-16.327
-10.311	7.0707	-16.408
-10.418	8.0808	-16.487
-10.52	9.0909	-16.564
-10.618	10.101	-16.638
-10.715	11.111	-16.709
-10.809	12.121	-16.778
-10.901	13.131	-16.844
-10.992	14.141	-16.907
-11.083	15.152	-16.967
-11.172	16.162	-17.024
-11.262	17.172	-17.078
-11.351	18.182	-17.13
-11.44	19.192	-17.179
-11.529	20.202	-17.225
-11.619	21.212	-17.268
-11.709	22.222	-17.309
-11.8	23.232	-17.347
-11.892	24.242	-17.382
-11.985	25.253	-17.415
-12.079	26.263	-17.445
-12.174	27.273	-17.473
-12.27	28.283	-17.498
-12.368	29.293	-17.52
-12.467	30.303	-17.54
-12.568	31.313	-17.557
-12.671	32.323	-17.572
-12.775	33.333	-17.585
-12.881	34.343	-17.595
-12.99	35.354	-17.602
-13.1	36.364	-17.607
-13.212	37.374	-17.61
-13.327	38.384	-17.61
-13.443	39.394	-17.608
-13.562	40.404	-17.603
-13.684	41.414	-17.595
-13.807	42.424	-17.586
-13.934	43.434	-17.574
-14.062	44.444	-17.559
-14.194	45.455	-17.542
-14.328	46.465	-17.522
-14.464	47.475	-17.5
-14.604	48.485	-17.475
-14.746	49.495	-17.448
-14.891	50.505	-17.418
-15.038	51.515	-17.385
-15.189	52.525	-17.35
-15.342	53.535	-17.312
-15.499	54.545	-17.272
-15.658	55.556	-17.228
-15.821	56.566	-17.182
-15.986	57.576	-17.133
-16.154	58.586	-17.082
-16.326	59.596	-17.027
-16.5	60.606	-16.969
-16.678	61.616	-16.909
-16.858	62.626	-16.845
-17.042	63.636	-16.778
-17.229	64.646	-16.708
-17.419	65.657	-16.635
-17.611	66.667	-16.558
-17.807	67.677	-16.477
-18.006	68.687	-16.393
-18.208	69.697	-16.306
-18.413	70.707	-16.214
-18.621	71.717	-16.119
-18.831	72.727	-16.019
-19.044	73.737	-15.915
-19.26	74.747	-15.807
-19.479	75.758	-15.694
-19.7	76.768	-15.576
-19.924	77.778	-15.453
-20.149	78.788	-15.324
-20.377	79.798	-15.19
-20.607	80.808	-15.05
-20.838	81.818	-14.903
-21.071	82.828	-14.749
-21.305	83.838	-14.588
-21.539	84.848	-14.42
-21.774	85.859	-14.242
-22.009	86.869	-14.055
-22.242	87.879	-13.857
-22.475	88.889	-13.648
-22.704	89.899	-13.426
-22.93	90.909	-13.189
-23.151	91.919	-12.934
-23.364	92.929	-12.659
-23.567	93.939	-12.36
-23.755	94.949	-12.03
-23.923	95.96	-11.661
-24.059	96.97	-11.236
-24.143	97.98	-10.725
-24.121	98.99	-10.051
-23.433	100	-8.4026
