60	0
59.838	0.0354
59.3508	0.141
58.5468	0.312
57.432	0.5436
56.019	0.828
54.321	1.1562
52.356	1.5192
50.1462	1.905
47.712	2.3034
45.0828	2.7036
42.285	3.0948
39.3498	3.4662
36.3078	3.8082
33.1932	4.1112
30.0402	4.3656
26.8842	4.5636
23.7582	4.698
20.673	4.7472
17.691	4.6986
14.847	4.5528
12.1752	4.3158
9.705	3.9954
7.4688	3.6036
5.4888	3.1518
3.7902	2.6562
2.391	2.1318
1.302	1.5924
0.5382	1.0512
0.1032	0.5172
0	0
0.225	-0.4764
0.774	-0.8898
1.6338	-1.2366
2.7972	-1.5186
4.248	-1.7358
5.9688	-1.8906
7.9428	-1.986
10.1472	-2.0274
12.5592	-2.0208
15.153	-1.9746
17.9052	-1.899
20.7852	-1.803
23.7672	-1.698
26.844	-1.5822
29.9598	-1.449
33.0792	-1.3044
36.168	-1.155
39.192	-1.0062
42.1188	-0.8616
44.9172	-0.7248
47.5542	-0.5964
50.0022	-0.4788
52.2318	-0.3726
54.2208	-0.2778
55.9428	-0.1956
57.3798	-0.1266
58.5168	-0.072
59.337	-0.0324
59.8338	-0.0078
60	0
