3.7555	0	-20.914
3.3321	1.0102	-20.975
2.9214	2.0204	-21.021
2.5223	3.0306	-21.054
2.1341	4.0408	-21.073
1.7559	5.051	-21.081
1.387	6.0612	-21.078
1.0269	7.0714	-21.065
0.67507	8.0816	-21.042
0.33089	9.0918	-21.01
-0.0060484	10.102	-20.969
-0.33617	11.112	-20.92
-0.65986	12.122	-20.863
-0.97749	13.133	-20.799
-1.2894	14.143	-20.729
-1.5959	15.153	-20.651
-1.8973	16.163	-20.568
-2.1939	17.173	-20.478
-2.4859	18.184	-20.383
-2.7736	19.194	-20.283
-3.0572	20.204	-20.177
-3.337	21.214	-20.067
-3.6131	22.224	-19.952
-3.8858	23.235	-19.833
-4.1552	24.245	-19.709
-4.4216	25.255	-19.581
-4.6851	26.265	-19.449
-4.9458	27.276	-19.313
-5.204	28.286	-19.174
-5.4597	29.296	-19.031
-5.7132	30.306	-18.885
-5.9645	31.316	-18.735
-6.2138	32.327	-18.583
-6.4613	33.337	-18.427
-6.707	34.347	-18.269
-6.951	35.357	-18.107
-7.1935	36.367	-17.943
-7.4346	37.378	-17.776
-7.6743	38.388	-17.607
-7.9129	39.398	-17.435
-8.1503	40.408	-17.261
-8.3866	41.418	-17.084
-8.622	42.429	-16.905
-8.8564	43.439	-16.724
-9.0901	44.449	-16.54
-9.323	45.459	-16.355
-9.5553	46.469	-16.167
-9.7869	47.48	-15.977
-10.018	48.49	-15.785
-10.249	49.5	-15.592
-10.479	50.51	-15.396
-10.708	51.52	-15.198
-10.938	52.531	-14.998
-11.167	53.541	-14.797
-11.396	54.551	-14.593
-11.624	55.561	-14.388
-11.852	56.571	-14.18
-12.08	57.582	-13.971
-12.308	58.592	-13.76
-12.535	59.602	-13.547
-12.763	60.612	-13.332
-12.99	61.622	-13.115
-13.217	62.633	-12.897
-13.443	63.643	-12.676
-13.669	64.653	-12.453
-13.895	65.663	-12.228
-14.121	66.673	-12.001
-14.346	67.684	-11.771
-14.57	68.694	-11.54
-14.794	69.704	-11.306
-15.017	70.714	-11.069
-15.24	71.724	-10.83
-15.461	72.735	-10.589
-15.681	73.745	-10.344
-15.9	74.755	-10.097
-16.118	75.765	-9.8459
-16.333	76.776	-9.5919
-16.547	77.786	-9.3342
-16.759	78.796	-9.0727
-16.967	79.806	-8.8071
-17.173	80.816	-8.5369
-17.375	81.827	-8.2618
-17.573	82.837	-7.9813
-17.767	83.847	-7.6949
-17.954	84.857	-7.4019
-18.136	85.867	-7.1015
-18.31	86.878	-6.7927
-18.475	87.888	-6.4745
-18.629	88.898	-6.1452
-18.771	89.908	-5.8032
-18.898	90.918	-5.4461
-19.005	91.929	-5.0705
-19.089	92.939	-4.6722
-19.143	93.949	-4.2448
-19.154	94.959	-3.7784
-19.106	95.969	-3.2562
-18.963	96.98	-2.6456
-18.636	97.99	-1.8614
-17.19	99	0
